Zip,Points
15047,1
15445,1
15259,1
15642,1
15244,1
15022,1
15312,1
15693,1
15038,1
15009,1
15367,1
15301,1
15644,1
15650,1
15085,1
15083,1
15061,1
15087,1
15089,1
15610,1
15230,1
15690,1
15601,1
15317,1
15321,1
15082,1
15006,1
15020,2
15242,2
15127,2
15332,2
15051,2
15001,2
15015,2
15240,2
15063,2
15018,2
15276,2
15057,2
15075,2
15032,2
15088,2
15046,2
15260,2
15068,2
15064,2
15003,2
15030,2
15026,2
15142,2
15031,2
15282,2
15035,2
15007,2
15056,2
15091,3
15225,3
15140,3
15086,3
15076,3
15148,3
15014,3
15243,3
15034,3
15133,3
15126,3
15112,3
15261,3
15135,3
15129,3
15144,3
15045,3
15116,3
15123,3
15211,3
15139,3
15204,3
15145,3
15024,3
15233,3
15071,3
15207,3
15214,3
15275,4
15131,4
15229,4
15037,4
15110,4
15223,4
15143,4
15065,4
15104,4
15228,4
15239,4
15044,4
15232,4
15209,4
15084,4
15241,4
15218,4
15101,4
15090,4
15226,4
15234,4
15208,4
15137,4
15231,4
15147,4
15202,4
15238,4
15215,4
15025,5
15220,5
15227,5
15102,5
15201,5
15017,5
15106,5
15236,5
15217,5
15216,5
15224,5
15122,5
15120,5
15221,5
15136,5
15132,5
15210,5
15206,5
15203,5
15235,5
15108,5
15205,5
15146,5
15237,5
15219,5
15213,5
15212,5
15222,5
