Zip,Points
15227,1
15232,1
15205,1
15217,1
15201,1
15216,1
15224,1
15233,1
15211,1
15220,1
15226,1
15204,1
15213,1
15207,1
15221,1
15214,1
15222,1
15208,1
15203,1
15206,1
15210,1
15212,1
15219,1
15236,2
15237,2
15229,2
15209,2
15137,2
15223,2
15146,2
15122,2
15202,2
15601,2
15132,2
15106,2
15104,2
15147,2
15120,2
15218,2
15136,2
15235,2
15215,2
15234,2
15238,2
15112,3
15025,3
15225,3
51219,3
16201,3
15090,3
15275,3
15301,3
16046,3
15450,3
15108,3
15065,3
15243,3
15129,3
15931,3
16823,3
15228,3
15145,3
15701,3
15001,3
16219,3
15110,3
16137,4
15022,4
16101,4
15231,4
15143,4
15241,4
15140,4
16254,4
15668,4
15116,4
15102,4
15133,4
14219,5
15056,5
15071,5
14614,5
16503,5
15131,5
15642,5
16652,5
17325,5
15239,5
15144,5
16648,5
15317,5
16055,5
12226,5
16373,5
15045,5
19403,5
15148,5
15690,5
17931,5
15028,5
15401,5
15282,5
16374,5
15061,5
16001,5
15068,5
15252,5
16127,5
15044,5
17701,5
16066,5
15084,5
15370,5
15126,5
16693,5
16239,5
16830,5
18801,5
