Zip,Points
15275,5
15276,5
15222,5
15086,5
15142,5
15219,5
15238,5
15005,5
15143,5
15232,5
15090,5
16046,5
15017,5
15213,5
15217,5
15241,5
15015,5
15139,5
15225,5
15044,5
15233,5
15228,5
15212,5
15026,5
15215,4
15201,4
15237,4
15235,4
15203,4
15101,4
15206,4
15108,4
15057,4
15084,4
15071,4
15243,4
15205,4
15668,4
15126,4
15220,4
15146,4
15024,4
15102,4
15211,4
15116,4
15224,4
15236,4
15137,3
15056,3
15229,3
15122,3
15234,3
15106,3
15007,3
15025,3
15216,3
15239,3
15332,3
15129,3
15136,3
15068,3
15065,3
15208,3
15046,3
15202,3
15218,3
16059,3
15051,3
15120,3
15209,3
15135,3
15037,2
15064,2
15226,2
15227,2
15083,2
15012,2
15049,2
15223,2
15214,2
15221,2
15131,2
15085,2
15075,2
15031,2
15321,2
15076,2
15642,2
15144,2
16229,2
15047,2
15147,2
15003,2
15063,2
15207,1
15082,1
15006,1
15145,1
15132,1
15133,1
15088,1
15030,1
15140,1
15018,1
15020,1
15204,1
15148,1
15014,1
15034,1
15210,1
15112,1
15035,1
15045,1
15110,1
15104,1
15089,1
15028,1
